question_number,question_text,prompt,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation,image_name,image_caption,difficulty,topic,module,date,region,test_number,test_name,subject,has_image_choices
11,A) B) C) D),,,,,,,,q11-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
12,"At a convention center, there are a total of 275 visitors. Each visitor is located in either room A, room B, or room C. If one of these visitors is selected at random, the probability of selecting a visitor who is located in room A is 0.68, and the probability of selecting a visitor who is located in room B is 0.24. How many visitors are located in room C?",,8,22,45,121,,,q12-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
13,Line t is defined by y= -(1/4)x + 15. Line s is perpendicular to line t in the xy-plane. What is the slope of line s?,,15,4,1/4,1/15,,,q13-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
14,A) B) C) D),,,,,,,,q14-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
15,A) B) C) D),,,,,,,,q15-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
16,"The function m is defined by m(x) = 5x + 3, and the function p is defined by p(x)= 3-x .What is the value of 2m(3)-p(3)?",,,,,,,,q16-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
17,"A school is ordering tablet computers for its students. The tablets cost $170 each, and 7% tax is added to the total cost of the order. If the school can spend no more than 53,400 dollars on the tablets, including tax, what is the maximum number of tablets that the school can order?",,,,,,,,q17-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
18,"The difference between the measure of angle A and the measure of angle B is –(5/12)π radians. Which expression shows the difference between the measure of angle A and the measure of angle B, in degrees?",,- (5/12) (180︒/π),- (5/12)π (π/180︒),- (5/12)π(180︒/π),- (5/12)π(360︒/π),,,q18-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
19,"A researcher observes a sample of a nuclide. An exponential model estimates that the mass in grams, of the sample decreases by 24% every 22.96 minutes. Which of the following equations could represent this model, where M is the estimated mass, in grams, of the sample t minutes after the researcher began observing the sample? A) B) C) D)",,,,,,,,q19-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
20,Math question 20,,0,5,10,30,,,q20-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
21,"In triangle RST, the measure of angle R is 39°, the measure of angle S is x°, and the measure of angle T is (5x - 3)︒. Point L lies on RS, point K lies on ST, and LK is parallel to RT. What is the measure, in degrees, of angle SKL? (Disregard the degree symbol when entering your answer)",,,,,,,,q21-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
22,"The function f is a quadratic function. In the xy-plane, the graph of y = f(x) has a vertex at (1,7) and passes through the points (2, 53) and (-1, 191). What is the value of f(-2)- f(0)?",,145,,,,,,q22-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
